Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.214,-106.152,180.0,top
C101,100nF,C_0402_1005Metric,123.911,-95.103,-135.0,top
C2,12pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,137.754,-103.739,90.0,top
C3,100nF,C_0402_1005Metric,132.039,-104.12,-135.0,top
C301,330nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.69,-115.55,90.0,top
C302,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.8,-110.089,-90.0,top
C303,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,124.419,-114.661,90.0,top
C501,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,128.753,-82.649,0.0,top
D1,D,D_SOD-323,136.381,-123.252,90.0,top
D11,SS34,D_SMA,144.6155,-80.532,-90.0,top
D12,~,D_SMA,144.6155,-73.23,90.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.798409,-133.844705,90.0,top
D21,SS34,D_SMA,144.6155,-95.532,-90.0,top
D22,~,D_SMA,144.6155,-88.23,90.0,top
D301,MB10S,TO-269AA,129.007,-89.634,180.0,top
D31,SS34,D_SMA,144.6155,-110.532,-90.0,top
D32,~,D_SMA,144.6155,-103.23,90.0,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,136.639409,-133.844705,90.0,top
D41,SS34,D_SMA,144.6155,-125.532,-90.0,top
D42,~,D_SMA,144.6155,-118.23,90.0,top
D501,SS53,D_SMA,125.5,-79.8975,0.0,top
D502,SS53,D_SMA,133.0,-79.8975,180.0,top
D503,SS53,D_SMA,133.0,-76.3975,0.0,top
D504,SS53,D_SMA,125.5,-76.3975,180.0,top
D51,SS34,D_SMA,114.9015,-118.23,90.0,top
D52,~,D_SMA,114.9015,-125.532,-90.0,top
D61,SS34,D_SMA,114.9015,-103.23,90.0,top
D62,~,D_SMA,114.9015,-110.532,-90.0,top
D71,SS34,D_SMA,114.9015,-88.23,90.0,top
D72,~,D_SMA,114.9015,-95.532,-90.0,top
D81,SS34,D_SMA,114.9015,-73.23,90.0,top
D82,~,D_SMA,114.9015,-80.532,-90.0,top
J11,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",148.8065,-76.826,90.0,top
J21,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",148.8065,-91.826,90.0,top
J31,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",148.8065,-106.826,90.0,top
J41,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",148.8065,-121.881,90.0,top
J51,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",110.7105,-121.881,-90.0,top
J61,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",110.7105,-106.881,-90.0,top
J62,Screw_Terminal_01x04,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",129.46,-70.9765,180.0,top
J71,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",110.7105,-91.881,-90.0,top
J81,~,"PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",110.7105,-76.826,-90.0,top
Q11,AO3400A,SOT-23,140.6785,-82.088,0.0,top
Q12,AO3400A,SOT-23,140.6785,-71.674,0.0,top
Q21,AO3400A,SOT-23,140.6785,-97.088,0.0,top
Q22,AO3400A,SOT-23,140.6785,-86.674,0.0,top
Q31,AO3400A,SOT-23,140.6785,-112.088,0.0,top
Q32,AO3400A,SOT-23,140.6785,-101.674,0.0,top
Q41,AO3400A,SOT-23,140.6785,-127.088,0.0,top
Q42,AO3400A,SOT-23,140.6785,-116.674,0.0,top
Q51,AO3400A,SOT-23,118.8385,-116.674,180.0,top
Q52,AO3400A,SOT-23,118.8385,-127.088,180.0,top
Q61,AO3400A,SOT-23,118.8385,-101.674,180.0,top
Q62,AO3400A,SOT-23,118.8385,-112.088,180.0,top
Q71,AO3400A,SOT-23,118.8385,-86.674,180.0,top
Q72,AO3400A,SOT-23,118.8385,-97.088,180.0,top
Q81,AO3400A,SOT-23,118.8385,-71.674,180.0,top
Q82,AO3400A,SOT-23,118.8385,-82.088,180.0,top
R1,10k,R_0603_smalltext,138.052,-130.956,0.0,top
R101,0R1,R_1206_3216Metric,124.546,-83.411,0.0,top
